实验名称,检测方法,模板文件,模板分区,字段位置,字段名称,原模板内容,输入类型,字段键
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,二、环境条件与辐射安全确认,表3-R5C4,孔型像质计表面,□清洁 □标识清晰,checkbox,t2_r4_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,二、环境条件与辐射安全确认,表3-R5C6,样品表面,□清洁 □异常,checkbox,t2_r4_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,二、环境条件与辐射安全确认,表3-R6C2,辐射安全确认,□警示标识正常 □设备防护有效 □警示灯正常 □区域无无关人员,checkbox,t2_r5_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,二、环境条件与辐射安全确认,表3-R6C4,授权操作,□是 □否,checkbox,t2_r5_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,二、环境条件与辐射安全确认,表3-R6C6,结论,□允许曝光 □禁止曝光,checkbox,t2_r5_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C2,X 射线机,,text,t3_r1_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C3,X 射线机,,text,t3_r1_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C4,X 射线机,,text,t3_r1_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C5,X 射线机,,text,t3_r1_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C6,X 射线机,,text,t3_r1_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C7,X 射线机,,text,t3_r1_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C8,使用前状态（第1条）,□正常 □异常,checkbox,t3_r1_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R2C9,确认人（第1条）,,text,t3_r1_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C2,数据采集板,,text,t3_r2_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C3,数据采集板,,text,t3_r2_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C4,数据采集板,,text,t3_r2_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C5,数据采集板,,text,t3_r2_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C6,数据采集板,,text,t3_r2_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C7,数据采集板,,text,t3_r2_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C8,使用前状态（第2条）,□正常 □异常,checkbox,t3_r2_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R3C9,确认人（第2条）,,text,t3_r2_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C3,0.1～1.0 mm,,text,t3_r3_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C4,0.1～1.0 mm,,text,t3_r3_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C5,0.1～1.0 mm,,text,t3_r3_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C6,0.1～1.0 mm,,text,t3_r3_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C7,0.1～1.0 mm,,text,t3_r3_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C8,使用前状态（第3条）,□正常 □异常,checkbox,t3_r3_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R4C9,确认人（第3条）,,text,t3_r3_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C2,黑白密度计,,text,t3_r4_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C3,黑白密度计,,text,t3_r4_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C4,黑白密度计,,text,t3_r4_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C5,黑白密度计,,text,t3_r4_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C6,黑白密度计,,text,t3_r4_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C7,黑白密度计,,text,t3_r4_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C8,使用前状态（第4条）,□正常 □异常,checkbox,t3_r4_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R5C9,确认人（第4条）,,text,t3_r4_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C2,标准密度片,,text,t3_r5_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C3,标准密度片,,text,t3_r5_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C4,标准密度片,,text,t3_r5_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C5,标准密度片,,text,t3_r5_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C6,标准密度片,,text,t3_r5_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C7,标准密度片,,text,t3_r5_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C8,使用前状态（第5条）,□正常 □异常,checkbox,t3_r5_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R6C9,确认人（第5条）,,text,t3_r5_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C2,型号规格/技术要求（第6条）,版本：____,text,t3_r6_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C3,准确度/最大允许误差/测量不确定度（第6条）,,text,t3_r6_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C4,管理编号（第6条）,,text,t3_r6_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C5,校准/核查证书编号（第6条）,,text,t3_r6_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C6,溯源机构（第6条）,,text,t3_r6_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C7,有效期至（第6条）,,text,t3_r6_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C8,使用前状态（第6条）,□正常 □异常,checkbox,t3_r6_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R7C9,确认人（第6条）,,text,t3_r6_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C2,打印设备,,text,t3_r7_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C3,打印设备,,text,t3_r7_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C4,打印设备,,text,t3_r7_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C5,打印设备,,text,t3_r7_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C6,打印设备,,text,t3_r7_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C7,打印设备,,text,t3_r7_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C8,使用前状态（第7条）,□正常 □异常,checkbox,t3_r7_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R8C9,确认人（第7条）,,text,t3_r7_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C2,样品固定辅助工具,,text,t3_r8_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C3,样品固定辅助工具,,text,t3_r8_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C4,样品固定辅助工具,,text,t3_r8_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C5,样品固定辅助工具,,text,t3_r8_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C6,样品固定辅助工具,,text,t3_r8_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C7,样品固定辅助工具,,text,t3_r8_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C8,使用前状态（第8条）,□正常 □异常,checkbox,t3_r8_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,设备校准及使用前确认记录,表4-R9C9,确认人（第8条）,,text,t3_r8_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C1,标准密度片编号（第1条）,,text,t4_r1_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C2,标称密度值（第1条）,,text,t4_r1_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C3,实测值1（第1条）,,text,t4_r1_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C4,实测值2（第1条）,,text,t4_r1_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C5,实测值3（第1条）,,text,t4_r1_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C6,平均值（第1条）,,text,t4_r1_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C7,允许偏差/控制限（第1条）,,text,t4_r1_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C8,核查结论（第1条）,,text,t4_r1_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R2C9,核查人（第1条）,,text,t4_r1_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C1,标准密度片编号（第2条）,,text,t4_r2_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C2,标称密度值（第2条）,,text,t4_r2_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C3,实测值1（第2条）,,text,t4_r2_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C4,实测值2（第2条）,,text,t4_r2_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C5,实测值3（第2条）,,text,t4_r2_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C6,平均值（第2条）,,text,t4_r2_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C7,允许偏差/控制限（第2条）,,text,t4_r2_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C8,核查结论（第2条）,,text,t4_r2_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R3C9,核查人（第2条）,,text,t4_r2_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C1,标准密度片编号（第3条）,,text,t4_r3_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C2,标称密度值（第3条）,,text,t4_r3_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C3,实测值1（第3条）,,text,t4_r3_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C4,实测值2（第3条）,,text,t4_r3_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C5,实测值3（第3条）,,text,t4_r3_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C6,平均值（第3条）,,text,t4_r3_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C7,允许偏差/控制限（第3条）,,text,t4_r3_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C8,核查结论（第3条）,,text,t4_r3_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,四、密度计标准密度片核查记录,表5-R4C9,核查人（第3条）,,text,t4_r3_c8
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R1C6,确认,□符合 □调整,checkbox,t5_r0_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R2C6,确认,□符合 □调整,checkbox,t5_r1_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R3C6,确认,□符合 □调整,checkbox,t5_r2_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R4C4,75 kV（第3条）,第____次,text,t5_r3_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R4C6,确认,□符合 □调整,checkbox,t5_r3_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R5C6,确认,□符合 □不符合,checkbox,t5_r4_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R6C6,确认,□符合 □不符合,checkbox,t5_r5_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R7C2,瘦（第6条）,□无 □图像欠曝 □过曝 □像质计显示不清 □样品厚度/密度影响 □其他：__________,checkbox,t5_r6_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R7C4,调整后参数,,text,t5_r6_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,五、X 射线机参数设置与摆放确认,表6-R7C6,确认人,,text,t5_r6_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C1,样品编号（第1条）,,text,t6_r1_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C2,样品名称/牙位（第1条）,,text,t6_r1_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C3,样品状态（第1条）,□完好 □异常,checkbox,t6_r1_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C4,图像文件编号（第1条）,,text,t6_r1_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C5,摆放方向确认（第1条）,□咬合面朝下,checkbox,t6_r1_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C6,孔型像质计显示（第1条）,□清晰 □不清,checkbox,t6_r1_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C7,图像有效性（第1条）,□有效 □无效,checkbox,t6_r1_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R2C8,是否复拍/原因（第1条）,□否 □是：____,checkbox,t6_r1_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C1,样品编号（第2条）,,text,t6_r2_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C2,样品名称/牙位（第2条）,,text,t6_r2_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C3,样品状态（第2条）,□完好 □异常,checkbox,t6_r2_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C4,图像文件编号（第2条）,,text,t6_r2_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C5,摆放方向确认（第2条）,□咬合面朝下,checkbox,t6_r2_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C6,孔型像质计显示（第2条）,□清晰 □不清,checkbox,t6_r2_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C7,图像有效性（第2条）,□有效 □无效,checkbox,t6_r2_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R3C8,是否复拍/原因（第2条）,□否 □是：____,checkbox,t6_r2_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C1,样品编号（第3条）,,text,t6_r3_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C2,样品名称/牙位（第3条）,,text,t6_r3_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C3,样品状态（第3条）,□完好 □异常,checkbox,t6_r3_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C4,图像文件编号（第3条）,,text,t6_r3_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C5,摆放方向确认（第3条）,□咬合面朝下,checkbox,t6_r3_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C6,孔型像质计显示（第3条）,□清晰 □不清,checkbox,t6_r3_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C7,图像有效性（第3条）,□有效 □无效,checkbox,t6_r3_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R4C8,是否复拍/原因（第3条）,□否 □是：____,checkbox,t6_r3_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C1,样品编号（第4条）,,text,t6_r4_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C2,样品名称/牙位（第4条）,,text,t6_r4_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C3,样品状态（第4条）,□完好 □异常,checkbox,t6_r4_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C4,图像文件编号（第4条）,,text,t6_r4_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C5,摆放方向确认（第4条）,□咬合面朝下,checkbox,t6_r4_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C6,孔型像质计显示（第4条）,□清晰 □不清,checkbox,t6_r4_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C7,图像有效性（第4条）,□有效 □无效,checkbox,t6_r4_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R5C8,是否复拍/原因（第4条）,□否 □是：____,checkbox,t6_r4_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C1,样品编号（第5条）,,text,t6_r5_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C2,样品名称/牙位（第5条）,,text,t6_r5_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C3,样品状态（第5条）,□完好 □异常,checkbox,t6_r5_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C4,图像文件编号（第5条）,,text,t6_r5_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C5,摆放方向确认（第5条）,□咬合面朝下,checkbox,t6_r5_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C6,孔型像质计显示（第5条）,□清晰 □不清,checkbox,t6_r5_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C7,图像有效性（第5条）,□有效 □无效,checkbox,t6_r5_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R6C8,是否复拍/原因（第5条）,□否 □是：____,checkbox,t6_r5_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C1,样品编号（第6条）,,text,t6_r6_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C2,样品名称/牙位（第6条）,,text,t6_r6_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C3,样品状态（第6条）,□完好 □异常,checkbox,t6_r6_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C4,图像文件编号（第6条）,,text,t6_r6_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C5,摆放方向确认（第6条）,□咬合面朝下,checkbox,t6_r6_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C6,孔型像质计显示（第6条）,□清晰 □不清,checkbox,t6_r6_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C7,图像有效性（第6条）,□有效 □无效,checkbox,t6_r6_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R7C8,是否复拍/原因（第6条）,□否 □是：____,checkbox,t6_r6_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C1,样品编号（第7条）,,text,t6_r7_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C2,样品名称/牙位（第7条）,,text,t6_r7_c1
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C3,样品状态（第7条）,□完好 □异常,checkbox,t6_r7_c2
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C4,图像文件编号（第7条）,,text,t6_r7_c3
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C5,摆放方向确认（第7条）,□咬合面朝下,checkbox,t6_r7_c4
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C6,孔型像质计显示（第7条）,□清晰 □不清,checkbox,t6_r7_c5
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C7,图像有效性（第7条）,□有效 □无效,checkbox,t6_r7_c6
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R8C8,是否复拍/原因（第7条）,□否 □是：____,checkbox,t6_r7_c7
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R9C1,样品编号（第8条）,,text,t6_r8_c0
金属内部质量X射线灰度分析,GB 17168,RECORD_R005_XRAY.docx,六、样品与图像信息汇总记录,表7-R9C2,样品名称/牙位（第8条）,,text,t6_r8_c1
